state,UID,STATEID,latitude,longitude,pop,rent_mean,rent_stdev,hi_mean,hc_mortgage_mean,hc_mean,second_mortgage,home_equity,debt,hs_degree,male_age_mean,female_age_mean,pct_own,married,separated,divorced
Alabama,221073.96241830065,1.0,32.97447255506536,-86.74011239150332,4111.4607843137255,761.2011156372538,287.91719816993503,55645.79622217319,1183.8782898529407,381.2255637908502,0.023056421568627448,0.07008214052287581,0.5424636274509801,0.8248836601307183,38.27871189542482,40.69076264705882,0.6693983169934643,0.5028066666666672,0.023173137254901995,0.11951125816993469
Alaska,220418.15238095238,2.0,61.097266399047605,-147.78735549523802,4467.866666666667,1190.0935901904759,472.3491388571431,83541.33407085712,1763.502345904762,571.5818940952382,0.017926190476190478,0.05291533333333334,0.5915904761904762,0.9169644761904757,36.50962942857143,36.868152190476174,0.6335571428571427,0.4834020952380951,0.018309904761904763,0.1149239047619048
Arizona,223125.13924050634,4.0,33.37018376696206,-111.8700444625315,4394.658227848101,1072.4479770886076,366.8303570126584,65903.87833853158,1388.8826612025334,421.0067442911396,0.027007455696202554,0.09122897468354436,0.6379078860759492,0.8461461772151888,38.89152405063293,40.164080607594954,0.6191893797468354,0.506518481012658,0.015485075949367079,0.10810286075949363
Arkansas,222034.68975069252,5.0,35.02356570055402,-92.62499196648201,4266.914127423823,711.265351772853,272.1779631578949,54556.88641293633,1092.9766701385047,364.16567393351795,0.016238060941828263,0.03912094182825484,0.5407831301939057,0.8348041551246534,38.35515182825488,40.466488060941835,0.6591282548476451,0.5327948476454294,0.021275983379501373,0.12564709141274236
California,227944.44578313254,6.0,35.505781163662675,-119.41657876995205,4803.452048192771,1459.1314954168643,530.887372624096,81654.1914406555,2177.4110441084335,546.2614413879518,0.042361443373493936,0.13013827710843365,0.7119682650602408,0.8078834722891558,37.28244017831317,39.025110412048186,0.5442419879518057,0.4961644024096397,0.019304559036144624,0.08171863855421671
Colorado,232585.11764705883,8.0,39.54757780527901,-105.17699894404224,4201.447963800905,1179.9033845550528,428.9061379487179,78084.42769309199,1608.8415596380094,455.10399372548983,0.053947375565610946,0.1266577375565611,0.6993937556561094,0.9024411161387621,37.3601350678733,38.81085751131223,0.6391786425339364,0.5253123680241323,0.013333725490196065,0.10514502262443433
Connecticut,233615.0677200903,9.0,41.5107593288939,-72.85322958510162,4317.476297968397,1309.3144159367946,509.5936333634312,92541.90734180588,2155.5273735891633,867.7156379909701,0.03951171557562075,0.14444997742663648,0.6799083069977431,0.8941727313769751,39.14991638826184,41.33498083521445,0.6807622347629796,0.5126455756207674,0.011102437923250564,0.09175013544018057
Delaware,234318.623853211,10.0,39.341574455045865,-75.54086034403674,4483.201834862385,1093.3643588990824,397.81794256880727,73752.93470733945,1560.582754587156,480.766300917431,0.03587284403669725,0.12367779816513762,0.6738567889908258,0.8681789908256878,39.302541284403674,41.17312733944954,0.6934252293577983,0.4892399082568807,0.01831844036697248,0.1030130275229358
District of Columbia,234125.69791666666,11.0,38.904654570833344,-77.00696849687502,3666.0833333333335,1444.2227089583337,635.0361493749998,91103.05637874996,2205.6611938541664,636.0059286458334,0.06266145833333332,0.15587375,0.7614930208333335,0.8844554166666669,36.14040260416668,38.69113093750001,0.43064854166666683,0.32086135416666667,0.026044791666666667,0.08845239583333335
Florida,236553.84375,12.0,27.800568640272896,-81.68850049810739,4659.820862676056,1131.6132605457751,402.655135576584,63358.388859793136,1551.485013604755,515.071678882042,0.027266197183098556,0.09566425176056352,0.577573626760564,0.8580704533450707,41.54781693661972,43.43207901408456,0.6331796258802813,0.49857822183098544,0.022037275528169028,0.11690033890845093
Georgia,239660.79530516433,13.0,33.270248737746506,-83.79988062366213,5057.905164319249,945.2642229201887,336.25192293896725,63965.279808769956,1411.6072221690147,442.60818253521114,0.03562963380281691,0.09944010328638504,0.6377716338028181,0.841138619718309,36.76786720187791,38.80158522065729,0.6223216150234744,0.5055816995305166,0.023024957746478843,0.10055614084507045
Hawaii,240818.21764705883,15.0,21.123989898235294,-157.49679664529404,4532.576470588236,1653.3013920588235,576.5688984117647,84169.44697094114,2159.4568708823517,511.47673023529427,0.02913070588235292,0.12235788235294118,0.6070791764705884,0.8914261764705886,38.217845352941175,40.113013,0.545675,0.5018960000000002,0.013217647058823537,0.08675770588235288
Idaho,241962.25675675675,16.0,44.24432311891893,-115.17253249729728,5865.405405405405,806.8065012837836,309.96796040540545,60020.30595635137,1279.4363887162158,375.0851602027027,0.03659891891891891,0.10537020270270268,0.6612948648648647,0.8893790540540546,37.5999981756757,38.69897851351351,0.6811106756756756,0.5667230405405402,0.012828243243243245,0.11481560810810812
Illinois,243679.19911783238,17.0,41.2630260102709,-88.37044264568364,4143.275362318841,1026.2065723818541,386.906345507246,72407.89494757404,1696.1421552804024,633.4403681474475,0.029336685570258366,0.1076929993698803,0.6509189413988666,0.8651536546943919,37.45867649653438,39.476330636420954,0.647628802772526,0.48991546313799617,0.016475797101449294,0.08939551354757388
Indiana,245988.61375,18.0,40.141691281624965,-86.21853779987505,4229.91125,806.586269475,295.3573209625002,59717.72790933757,1129.188830062499,404.5967774750009,0.027946812499999987,0.09770397499999998,0.6453829874999997,0.8611461249999998,37.635318837500016,39.68838513749997,0.6763541500000001,0.5072009875000002,0.0138187,0.12209697500000019
Iowa,241416.1686746988,19.0,41.94187125975905,-93.11667217060253,3619.024096385542,734.7148798554218,325.2712491084339,63581.61590125304,1226.0158019036148,463.32311351807255,0.027838939759036153,0.08533187951807243,0.5940861927710844,0.9039306506024092,38.988499180722904,41.157269373493996,0.7313165060240961,0.547289301204819,0.011361759036144583,0.10680363855421679
Kansas,247123.2775229358,20.0,38.46918645275228,-96.54162623646793,3674.4266055045873,812.6407623165136,311.1016701834863,63748.800274266025,1262.7046443807346,481.0606021330279,0.022574816513761455,0.06514869266055046,0.5648684862385321,0.8721214908256882,37.17588211009174,39.05836346330276,0.671447614678899,0.5324476605504586,0.013071261467889906,0.11096142201834859
Kentucky,248080.96133567663,21.0,37.81758872899825,-85.1429252456942,3915.1195079086115,726.9603645869953,280.3381704745168,56560.95256736377,1159.7858398945514,376.74953173989456,0.026677029876977152,0.09313130052724074,0.5750989279437606,0.8265023550087877,38.05937372583486,40.04275349736384,0.6647094024604572,0.5243533743409488,0.020171704745166955,0.12573152899824275
Louisiana,249210.1173553719,22.0,30.65506525801654,-91.33233627008259,4054.6528925619837,824.2563256859498,314.5271053057848,58821.85686413222,1283.5234473719015,379.3815948264463,0.023999950413223167,0.05756456198347103,0.5071278677685953,0.8172678677685946,37.265407735537195,39.503151140495866,0.6297798512396696,0.45574403305785105,0.02427343801652892,0.11044013223140488
Maine,252850.57368421054,23.0,44.42683465473684,-69.6443298357894,3740.1157894736843,846.1759177894733,360.4719799473685,61978.0430375263,1416.2052472631572,532.548953210526,0.020603684210526316,0.11694747368421053,0.6205566315789472,0.9118655789473684,42.13611126315789,43.97369699999998,0.7415755263157897,0.5346394210526318,0.008621473684210524,0.13364542105263155
Maryland,251968.10491367863,24.0,39.155281585126204,-76.79603272071722,4332.204515272244,1396.3661254316062,489.73978674634765,92451.08150184616,1958.9363024435597,610.122321115537,0.044511553784860554,0.1478446613545816,0.7281950597609552,0.8855947941567069,38.039482031872545,40.14306144754317,0.6782362151394427,0.5087901062416997,0.023366533864541822,0.08676067729083664
Massachusetts,250543.70428015565,25.0,42.271735640856015,-71.34838044993526,4590.311284046693,1207.501005693904,526.9463735149156,87022.02310051894,2118.8813867704284,744.2298268223095,0.036068754863813245,0.14337556420233463,0.7012928664072634,0.8839983527885865,38.647187120622604,40.916556251621245,0.619723125810635,0.48985946822308696,0.017896809338521405,0.08147474708171201
Michigan,254431.37860082305,26.0,42.90657783079562,-84.14354856124825,3565.3593964334705,909.3007953086423,335.8620628463653,62832.54084683813,1321.6734394307261,498.89967399862684,0.026649753086419748,0.10457544581618634,0.5891305555555554,0.8776544307270231,38.610373573388216,40.61693276406033,0.6996140329218108,0.484408106995884,0.014008065843621381,0.10759700960219473
Minnesota,256519.61350574714,27.0,45.2204449810345,-93.59905184712643,4136.1594827586205,956.8420786350574,397.4738803160925,75494.84476507187,1557.5771551436792,524.7712862643676,0.04206829022988506,0.13433610632183907,0.6675850718390806,0.9155080172413794,38.404613951149464,40.068143951149416,0.7221153017241376,0.5271105603448278,0.009443749999999996,0.0919062643678161
Mississippi,258903.92022792023,28.0,32.6563086074074,-89.6300057960114,4438.871794871795,734.3804975498575,278.4626805413108,50775.30294492875,1109.5559632478619,376.2520702849003,0.016089544159544167,0.04572119658119659,0.5016450712250708,0.8075381196581196,37.27257356125356,39.66119264957268,0.6545221937321939,0.4764030199430198,0.028063846153846148,0.1124095726495726
